A,B,P,UF,OF,NaNF,InfF,DNF,ZF
a8661d00,ff800000,7f800000,0,0,0,1,0,0
7f800000,5b64381e,7f800000,0,0,0,1,0,0
d41cc21a,ff800000,7f800000,0,0,0,1,0,0
ff800000,75c8ee63,ff800000,0,0,0,1,0,0
ff800000,e1992e09,7f800000,0,0,0,1,0,0
02bee3cf,ff800000,ff800000,0,0,0,1,0,0
ff800000,69efe7af,ff800000,0,0,0,1,0,0
64fbb345,7f800000,7f800000,0,0,0,1,0,0
81e194a7,ff800000,7f800000,0,0,0,1,0,0
7f800000,3fd36231,7f800000,0,0,0,1,0,0
8f105dd8,ff800000,7f800000,0,0,0,1,0,0
5fc32e9f,7f800000,7f800000,0,0,0,1,0,0
00000fff,7f800000,7f800000,0,0,0,1,0,0
3fc00000,7f800000,7f800000,0,0,0,1,0,0
7f800000,00000fff,7f800000,0,0,0,1,0,0
7f800000,40000000,7f800000,0,0,0,1,0,0
7f800000,7f800000,7f800000,0,0,0,1,0,0
00000fff,ff800000,ff800000,0,0,0,1,0,0
3fc00000,ff800000,ff800000,0,0,0,1,0,0
7f800000,80000fff,ff800000,0,0,0,1,0,0
7f800000,c0000000,ff800000,0,0,0,1,0,0
7f800000,ff800000,ff800000,0,0,0,1,0,0
80000fff,7f800000,ff800000,0,0,0,1,0,0
bfc00000,7f800000,ff800000,0,0,0,1,0,0
ff800000,00000fff,ff800000,0,0,0,1,0,0
ff800000,40000000,ff800000,0,0,0,1,0,0
ff800000,7f800000,ff800000,0,0,0,1,0,0
80000fff,ff800000,7f800000,0,0,0,1,0,0
bfc00000,ff800000,7f800000,0,0,0,1,0,0
ff800000,80000fff,7f800000,0,0,0,1,0,0
ff800000,c0000000,7f800000,0,0,0,1,0,0
ff800000,ff800000,7f800000,0,0,0,1,0,0
