A,B,P,UF,OF,NaNF,InfF,DNF,ZF
ffe26f41,00101ade,ffffffff,0,0,1,0,0,0
7fb052d6,a6951411,ffffffff,0,0,1,0,0,0
1fbc34e8,fff26d4b,ffffffff,0,0,1,0,0,0
ffb50a31,49000000,ffffffff,0,0,1,0,0,0
ffb7d6a0,0,ffffffff,0,0,1,0,0,0
7fab3cb6,e92edb42,ffffffff,0,0,1,0,0,0
ff98b7c2,cb98ae41,7fffffff,0,0,1,0,0,0
ffdc8e86,003a0b77,ffffffff,0,0,1,0,0,0
3f9f35f1,7fa0ba3e,7fffffff,0,0,1,0,0,0
ff800000,7f9c241b,ffffffff,0,0,1,0,0,0
ffcd4efd,15d34c38,ffffffff,0,0,1,0,0,0
42fd3050,fff137c1,ffffffff,0,0,1,0,0,0
7fe68e80,7febf683,7fffffff,0,0,1,0,0,0
3e5ff007,ff86509f,ffffffff,0,0,1,0,0,0
ffcdc175,583a251b,ffffffff,0,0,1,0,0,0
ffbab9c0,e2b20727,7fffffff,0,0,1,0,0,0
fff12e73,c0a5b602,7fffffff,0,0,1,0,0,0
7f9ac427,002432b1,7fffffff,0,0,1,0,0,0
2b476b47,7f85a4e6,7fffffff,0,0,1,0,0,0
7fec8cbd,5f218a07,7fffffff,0,0,1,0,0,0
ffdb4edb,8050c585,7fffffff,0,0,1,0,0,0
930ba6c2,ff80da87,7fffffff,0,0,1,0,0,0
0072f08c,7fcf7db7,7fffffff,0,0,1,0,0,0
81cddbcd,7fc5640d,ffffffff,0,0,1,0,0,0
80441748,ff9d644e,7fffffff,0,0,1,0,0,0
ff831eb6,cc474f53,7fffffff,0,0,1,0,0,0
0faee3c0,ffc7f360,ffffffff,0,0,1,0,0,0
ff87a563,0053a466,ffffffff,0,0,1,0,0,0
d685bead,ff9cdba1,7fffffff,0,0,1,0,0,0
b436c8bb,ffcec7d5,7fffffff,0,0,1,0,0,0
ffd7b07f,ae251c76,7fffffff,0,0,1,0,0,0
004ee251,7ff8fb76,7fffffff,0,0,1,0,0,0
7fd7521e,7f800000,7fffffff,0,0,1,0,0,0
7fbde669,bda2c499,ffffffff,0,0,1,0,0,0
a7b8b36e,7fffc908,ffffffff,0,0,1,0,0,0
ffa0409e,8db1661c,7fffffff,0,0,1,0,0,0
1d25128b,fffae1b3,ffffffff,0,0,1,0,0,0
fff66dcc,b70f066e,7fffffff,0,0,1,0,0,0
7fc00974,d66ff682,ffffffff,0,0,1,0,0,0
7fc79bbd,bebb9265,ffffffff,0,0,1,0,0,0
7fe76396,afbc7a21,ffffffff,0,0,1,0,0,0
d8800000,ffe594b9,7fffffff,0,0,1,0,0,0
ffa237db,ffbded2a,7fffffff,0,0,1,0,0,0
4c0e8a08,ffa0121f,ffffffff,0,0,1,0,0,0
