A,B,P,UF,OF,NaNF,InfF,DNF,ZF
4826eb08,bacae68a,c3844bc5,0,0,0,0,0,0
cf9c97df,54db20d8,e5060a03,0,0,0,0,0,0
f1bd6131,a7192bd4,59629f05,0,0,0,0,0,0
342f0e40,2dc3ee09,2285faa0,0,0,0,0,0,0
c0c8b41d,56286aea,d7840a05,0,0,0,0,0,0
004402e7,6c3c6051,2d103be1,0,0,0,0,0,0
c2fb19a5,19c919e9,9d45408d,0,0,0,0,0,0
25e3ef58,ac714def,92d6d9b6,0,0,0,0,0,0
9d01bc0c,53d2e7d4,b155c37c,0,0,0,0,0,0
c0d3ca3f,eee7cd37,703fc545,0,0,0,0,0,0
c29a8a54,5533c273,d8590836,0,0,0,0,0,0
4f209322,623fdd19,71f0b0ea,0,0,0,0,0,0
8699029c,c5547f9c,0c7e04dd,0,0,0,0,0,0
2fdde25e,b5e4702e,a645fed7,0,0,0,0,0,0
04a8e5ca,7bb64cdf,40f08c2a,0,0,0,0,0,0
fa000000,acbdc8f4,673dc8f4,0,0,0,0,0,0
8af55279,57c3b9ea,a33b8ffb,0,0,0,0,0,0
8079a0fa,4eb130ce,8facc7e4,0,0,0,0,0,0
f9845a32,299db5fc,e3a312cd,0,0,0,0,0,0
ea96e6c9,2e927258,d9aca60b,0,0,0,0,0,0
a9b2c124,da9a3e8c,44d767b8,0,0,0,0,0,0
fc32ee8c,011cc001,bddb1f22,0,0,0,0,0,0
5c7ffb1d,2af7fe0f,47f7f953,0,0,0,0,0,0
48d37e61,4835c621,51962c0a,0,0,0,0,0,0
005282a7,4638b436,0717e218,0,0,0,0,0,0
8039a47a,5c5011fd,9d16e2af,0,0,0,0,0,0
31017165,d6506a69,c7d2c3e0,0,0,0,0,0,0
9b66844c,5406ec5b,aff2fc27,0,0,0,0,0,0
e8a3d91b,8004a1a9,2929c6d3,0,0,0,0,0,0
3e7019e3,30800000,2f7019e3,0,0,0,0,0,0
b1800000,1c15984d,8e15984d,0,0,0,0,0,0
95cbf330,48072a06,9e575d72,0,0,0,0,0,0
2cf481b0,5e718b96,4be6b368,0,0,0,0,0,0
9a7fe6df,73699647,ce697f59,0,0,0,0,0,0
806bb5c6,d513a3e6,1607f049,0,0,0,0,0,0
7302f2ac,43d302c2,7757deda,0,0,0,0,0,0
38cf5cbd,14000000,0d4f5cbd,0,0,0,0,0,0
a527134c,b4ca5003,1a840972,0,0,0,0,0,0
a5980f1e,408d7793,a6a80eb4,0,0,0,0,0,0
