A,B,P,UF,OF,NaNF,InfF,DNF,ZF
c104eafc,ff2cd44d,7f800000,0,1,0,1,0,0
f7d8af26,d1ea097e,7f800000,0,1,0,1,0,0
71491a46,fd110d7b,ff800000,0,1,0,1,0,0
fd04a6fb,645c0337,ff800000,0,1,0,1,0,0
7e0f67f5,77000000,7f800000,0,1,0,1,0,0
eaebd141,fbaedfdd,7f800000,0,1,0,1,0,0
7e6cd4c1,f9180660,ff800000,0,1,0,1,0,0
50000000,f049be50,ff800000,0,1,0,1,0,0
d1d46ea5,f222a29e,7f800000,0,1,0,1,0,0
71c7a688,519d48a7,7f800000,0,1,0,1,0,0
62ace947,6e220c50,7f800000,0,1,0,1,0,0
6f37f6e2,53a2040c,7f800000,0,1,0,1,0,0
f2962bf6,e7a6bb37,7f800000,0,1,0,1,0,0
fe318301,6c800000,ff800000,0,1,0,1,0,0
ed368ef8,5a4e4c8d,ff800000,0,1,0,1,0,0
5a9e441e,6a377473,7f800000,0,1,0,1,0,0
ea1b0c0d,f7af21d1,7f800000,0,1,0,1,0,0
df0c2bff,fa39e8a0,7f800000,0,1,0,1,0,0
765e72b5,f19ca4f0,ff800000,0,1,0,1,0,0
758741b8,df187d92,ff800000,0,1,0,1,0,0
7f000000,559edf5b,7f800000,0,1,0,1,0,0
e234871e,ef1a5d6f,7f800000,0,1,0,1,0,0
d2b35f2f,fd672859,7f800000,0,1,0,1,0,0
ce64bdc2,7e378d7d,ff800000,0,1,0,1,0,0
7358dbc4,f49353ab,ff800000,0,1,0,1,0,0
67b9389f,dd9b41ea,ff800000,0,1,0,1,0,0
6f4f0d3c,5ddf4c1f,7f800000,0,1,0,1,0,0
da402765,e5c39da7,7f800000,0,1,0,1,0,0
5d547fae,744994ac,7f800000,0,1,0,1,0,0
f058bcb4,fe1e2306,7f800000,0,1,0,1,0,0
655ff81b,fe9ad761,ff800000,0,1,0,1,0,0
e68a088a,5a78a7aa,ff800000,0,1,0,1,0,0
634e0aea,e44eb16d,ff800000,0,1,0,1,0,0
686b2e55,6dab6586,7f800000,0,1,0,1,0,0
7b745778,d0561d85,ff800000,0,1,0,1,0,0
6ec970a2,729302fa,7f800000,0,1,0,1,0,0
f2e322f6,5bea03af,ff800000,0,1,0,1,0,0
dc93d75c,e9fcf343,7f800000,0,1,0,1,0,0
7a06c81d,e3ae56d5,ff800000,0,1,0,1,0,0
f118f641,db91e333,7f800000,0,1,0,1,0,0
dc260a7b,fa39ddfc,7f800000,0,1,0,1,0,0
6b7e48bb,64d191b8,7f800000,0,1,0,1,0,0
603ca237,f4000000,ff800000,0,1,0,1,0,0
f070236e,55ec0293,ff800000,0,1,0,1,0,0
ff072e86,6d92a3cb,ff800000,0,1,0,1,0,0
c414cbd3,7e000000,ff800000,0,1,0,1,0,0
7a8ce62f,ca0cc84b,ff800000,0,1,0,1,0,0
7cf558be,53000000,7f800000,0,1,0,1,0,0
f4a769f5,7a471247,ff800000,0,1,0,1,0,0
f25a53e3,f3258c5e,7f800000,0,1,0,1,0,0
e14e3bb4,de44f7b2,7f800000,0,1,0,1,0,0
ecc980fd,d830fc9a,7f800000,0,1,0,1,0,0
51800000,79a5e661,7f800000,0,1,0,1,0,0
6d638531,7c21e8cb,7f800000,0,1,0,1,0,0
fd2fa734,d34f5746,7f800000,0,1,0,1,0,0
79a6c110,483c75a8,7f800000,0,1,0,1,0,0
d9a63284,66000000,ff800000,0,1,0,1,0,0
fcd697bd,5bd14a8e,ff800000,0,1,0,1,0,0
cffdd2c1,71fd7eb2,ff800000,0,1,0,1,0,0
6f65f0e0,68d3a93b,7f800000,0,1,0,1,0,0
df81159c,61ad3b6e,ff800000,0,1,0,1,0,0
f88b3dc5,f704f9fd,7f800000,0,1,0,1,0,0
fdb764cf,5b082ef6,ff800000,0,1,0,1,0,0
72938018,7ea4735d,7f800000,0,1,0,1,0,0
ff76d000,c17fe000,7f800000,0,1,0,1,0,0
5d693000,f41f1000,ff800000,0,1,0,1,0,0
ed3e8000,5b71f800,ff800000,0,1,0,1,0,0
d8ce0800,70fa4800,ff800000,0,1,0,1,0,0
63d45000,e03be000,ff800000,0,1,0,1,0,0
cfeb0000,f058e000,7f800000,0,1,0,1,0,0
e7ca0000,636cd000,ff800000,0,1,0,1,0,0
66ada000,5b7e8800,7f800000,0,1,0,1,0,0
ebc1b000,fd732800,7f800000,0,1,0,1,0,0
72965800,59826800,7f800000,0,1,0,1,0,0
fe048000,695ae000,ff800000,0,1,0,1,0,0
7f5ef000,c9b9c000,ff800000,0,1,0,1,0,0
e419b000,75dd3000,ff800000,0,1,0,1,0,0
