A,B,P,UF,OF,NaNF,InfF,DNF,ZF
b2909b9a,002b9b15,80000000,1,0,0,0,0,1
a54e5545,0971470e,80000000,1,0,0,0,0,1
642980,bd0e71b8,80000000,1,0,0,0,0,1
9710e31e,8a3873eb,0,1,0,0,0,0,1
1227c3d1,062a7977,0,1,0,0,0,0,1
0fed5308,804789a7,80000000,1,0,0,0,0,1
0042dbdd,32034c39,0,1,0,0,0,0,1
92d30c27,805a463c,0,1,0,0,0,0,1
a30a0e41,91000000,0,1,0,0,0,0,1
8047b58f,bccfc373,0,1,0,0,0,0,1
801f05a1,142e3d56,80000000,1,0,0,0,0,1
09c80c3f,a68edc1e,80000000,1,0,0,0,0,1
ab1a456c,82045973,0,1,0,0,0,0,1
8007f4c4,007695d4,80000000,1,0,0,0,0,1
13db605f,9e07a3d8,80000000,1,0,0,0,0,1
80115582,03307e88,80000000,1,0,0,0,0,1
11947c9d,80314da1,80000000,1,0,0,0,0,1
97b6f36a,802f7e3c,0,1,0,0,0,0,1
1d61f4a4,93800000,80000000,1,0,0,0,0,1
800b17ee,98d688bc,0,1,0,0,0,0,1
1b39c83a,22f9296b,0,1,0,0,0,0,1
9c34b9a6,9e0065cf,0,1,0,0,0,0,1
a5800000,1565921f,80000000,1,0,0,0,0,1
2e1c64e7,109edb1a,0,1,0,0,0,0,1
00317ce1,8b8e2446,80000000,1,0,0,0,0,1
aea1f6e3,80462690,0,1,0,0,0,0,1
89d5e2fc,875797d8,0,1,0,0,0,0,1
93d87ca2,26e51132,80000000,1,0,0,0,0,1
b0e32fd6,8109bfb6,0,1,0,0,0,0,1
a351f977,13479498,80000000,1,0,0,0,0,1
a2162f79,06fde5bb,80000000,1,0,0,0,0,1
32c2280e,001642cc,0,1,0,0,0,0,1
004cc946,8593ed4e,80000000,1,0,0,0,0,1
8d7cc840,39651,80000000,1,0,0,0,0,1
8a800000,9d9a4545,0,1,0,0,0,0,1
8c2e24c6,8279ca71,0,1,0,0,0,0,1
00451d9e,00146d58,0,1,0,0,0,0,1
27fa2b7f,95ccb452,80000000,1,0,0,0,0,1
15da3fa0,a1a04b08,80000000,1,0,0,0,0,1
86d1197d,8055fba3,0,1,0,0,0,0,1
1473782d,8073ac4f,80000000,1,0,0,0,0,1
002e7f88,23f53694,0,1,0,0,0,0,1
0006159a,85b79e9f,80000000,1,0,0,0,0,1
807b904a,002ec5f6,80000000,1,0,0,0,0,1
08ae39ac,18555910,0,1,0,0,0,0,1
02d4c907,1694b728,0,1,0,0,0,0,1
83f738f5,b832a4d8,0,1,0,0,0,0,1
1e09c945,1ba3ec5e,0,1,0,0,0,0,1
804b4837,2a2d8b97,80000000,1,0,0,0,0,1
004585bd,832ca79b,80000000,1,0,0,0,0,1
807ae289,0a449433,80000000,1,0,0,0,0,1
3b13df69,0416c656,0,1,0,0,0,0,1
0068efbb,97ca6b83,80000000,1,0,0,0,0,1
88363c44,0863a4f9,80000000,1,0,0,0,0,1
34b96ad2,06b56a21,0,1,0,0,0,0,1
00665dd0,8b436977,80000000,1,0,0,0,0,1
